issue_ID,issue_title,remediation,assigned_person,severity,category,system,owner_team,status,created_date,last_updated,summary,tags
ISS-00001,Users at Bengaluru Lab cannot connect to Teams: high CPU,"Validate scope: reproduce the issue described as 'Users at Bengaluru Lab cannot connect to Teams: high CPU'. Gather diagnostics (logs, event traces, NetMon/PCAP) on Oracle-FIN-AP and impacted clients. Identify blast radius by checking recent changes (patches, policy updates, cert renewals). Tune policy scope; add detection exception by hash/path; force agent sync and verify signatures. Apply targeted fix and document exact commands/GUI steps. Verify resolution with the requester; monitor for 24 hours; create problem record if it recurs.",Ishita Nair,High,Security - DLP,Oracle-FIN-AP,Cybersecurity,Resolved,2025-05-18 14:00:22,2025-05-31 15:00:22,Users at Bengaluru Lab cannot connect to Teams: high CPU. Likely cause: expired certificate. Verified with logs; resolved via targeted configuration correction and validation tests.,"security---dlp,auth,dns,cache"
ISS-00002,High CPU on MDM-Intune-29 causing file sync backlog,"Validate scope: reproduce the issue described as 'High CPU on MDM-Intune-29 causing file sync backlog'. Gather diagnostics (logs, event traces, NetMon/PCAP) on Edge-Switch-72 and impacted clients. Identify blast radius by checking recent changes (patches, policy updates, cert renewals). Coordinate maintenance window; apply vendor firmware; validate PLC/SCADA comms with loopback tests. Apply targeted fix and document exact commands/GUI steps. Verify resolution with the requester; monitor for 24 hours; create problem record if it recurs.",Yash Agarwal,High,Manufacturing OT,Edge-Switch-72,Cloud Platform,Open,2024-11-02 09:50:22,2024-11-12 17:50:22,High CPU on MDM-Intune-29 causing file sync backlog. Likely cause: missing group membership. Verified with logs; resolved via targeted configuration correction and validation tests.,"manufacturing-ot,dns,patch,auth"
ISS-00003,Login failures for Outlook due to DNS misconfiguration,"Validate scope: reproduce the issue described as 'Login failures for Outlook due to DNS misconfiguration'. Gather diagnostics (logs, event traces, NetMon/PCAP) on Email-Exchange-13 and impacted clients. Identify blast radius by checking recent changes (patches, policy updates, cert renewals). Apply targeted fix and document exact commands/GUI steps. Verify resolution with the requester; monitor for 24 hours; create problem record if it recurs.",Diya Kapoor,Medium,Endpoint,Email-Exchange-13,Collaboration (M365),Known Issue,2025-02-21 13:58:22,2025-03-03 09:58:22,Login failures for Outlook due to DNS misconfiguration. Likely cause: stale device record. Verified with logs; resolved via targeted configuration correction and validation tests.,"endpoint,cache,dns,auth"
ISS-00004,Login failures for Mendix OrderApp due to outdated agent version,"Validate scope: reproduce the issue described as 'Login failures for Mendix OrderApp due to outdated agent version'. Gather diagnostics (logs, event traces, NetMon/PCAP) on VPN-Gateway-99 and impacted clients. Identify blast radius by checking recent changes (patches, policy updates, cert renewals). Adjust ACL/NAT and QoS; update route tables; clear ARP/conntrack where needed. Apply targeted fix and document exact commands/GUI steps. Verify resolution with the requester; monitor for 24 hours; create problem record if it recurs.",Meera Desai,Medium,Network,VPN-Gateway-99,Oracle ERP,Resolved,2025-02-14 16:46:22,2025-02-25 22:46:22,Login failures for Mendix OrderApp due to outdated agent version. Likely cause: DNS misconfiguration. Verified with logs; resolved via targeted configuration correction and validation tests.,"network,driver,auth,cert"
ISS-00005,Email delays to @customer.com after change on ADFS-Cluster-119,"Validate scope: reproduce the issue described as 'Email delays to @customer.com after change on ADFS-Cluster-119'. Gather diagnostics (logs, event traces, NetMon/PCAP) on VPN-Gateway-21 and impacted clients. Identify blast radius by checking recent changes (patches, policy updates, cert renewals). Coordinate maintenance window; apply vendor firmware; validate PLC/SCADA comms with loopback tests. Apply targeted fix and document exact commands/GUI steps. Verify resolution with the requester; monitor for 24 hours; create problem record if it recurs.",Pooja Kulkarni,High,Manufacturing OT,VPN-Gateway-21,Data Platform,Resolved,2024-09-09 19:15:22,2024-09-11 05:15:22,Email delays to @customer.com after change on ADFS-Cluster-119. Likely cause: driver regression after patch. Verified with logs; resolved via targeted configuration correction and validation tests.,"manufacturing-ot,policy,auth,dns"
ISS-00006,VPN split-tunnel issue for SharePoint at Mumbai DC,"Validate scope: reproduce the issue described as 'VPN split-tunnel issue for SharePoint at Mumbai DC'. Gather diagnostics (logs, event traces, NetMon/PCAP) on PLC-Cell-28 and impacted clients. Identify blast radius by checking recent changes (patches, policy updates, cert renewals). Apply targeted fix and document exact commands/GUI steps. Verify resolution with the requester; monitor for 24 hours; create problem record if it recurs.",Aditya Singh,Medium,Data & Analytics,PLC-Cell-28,Cybersecurity,In Progress,2025-05-27 04:39:22,2025-06-19 22:39:22,VPN split-tunnel issue for SharePoint at Mumbai DC. Likely cause: driver regression after patch. Verified with logs; resolved via targeted configuration correction and validation tests.,"data-&-analytics,cache,firmware,patch"
ISS-00007,SharePoint permissions drift on DLP-Policy-12 leads to timeouts,"Validate scope: reproduce the issue described as 'SharePoint permissions drift on DLP-Policy-12 leads to timeouts'. Gather diagnostics (logs, event traces, NetMon/PCAP) on Oracle-SCM-INV and impacted clients. Identify blast radius by checking recent changes (patches, policy updates, cert renewals). Apply targeted fix and document exact commands/GUI steps. Verify resolution with the requester; monitor for 24 hours; create problem record if it recurs.",Meera Desai,High,Identity & Access,Oracle-SCM-INV,Cybersecurity,Resolved,2025-03-17 06:27:22,2025-03-29 18:27:22,SharePoint permissions drift on DLP-Policy-12 leads to timeouts. Likely cause: timezone mismatch. Verified with logs; resolved via targeted configuration correction and validation tests.,"identity-&-access,permissions,policy,driver"
ISS-00008,VPN split-tunnel issue for Mendix OrderApp at Bengaluru Lab,"Validate scope: reproduce the issue described as 'VPN split-tunnel issue for Mendix OrderApp at Bengaluru Lab'. Gather diagnostics (logs, event traces, NetMon/PCAP) on Edge-Switch-88 and impacted clients. Identify blast radius by checking recent changes (patches, policy updates, cert renewals). Apply targeted fix and document exact commands/GUI steps. Verify resolution with the requester; monitor for 24 hours; create problem record if it recurs.",Pooja Kulkarni,High,Printer/Peripheral,Edge-Switch-88,Cloud Platform,In Progress,2025-01-10 00:33:22,2025-01-24 00:33:22,VPN split-tunnel issue for Mendix OrderApp at Bengaluru Lab. Likely cause: DNS misconfiguration. Verified with logs; resolved via targeted configuration correction and validation tests.,"printer/peripheral,permissions,cert,driver"
ISS-00009,VPN split-tunnel issue for Teams at Bengaluru Lab,"Validate scope: reproduce the issue described as 'VPN split-tunnel issue for Teams at Bengaluru Lab'. Gather diagnostics (logs, event traces, NetMon/PCAP) on Oracle-FIN-AP and impacted clients. Identify blast radius by checking recent changes (patches, policy updates, cert renewals). Apply targeted fix and document exact commands/GUI steps. Verify resolution with the requester; monitor for 24 hours; create problem record if it recurs.",Vikram Patil,Low,Data & Analytics,Oracle-FIN-AP,Service Desk,In Progress,2024-11-03 05:12:22,2024-12-02 21:12:22,VPN split-tunnel issue for Teams at Bengaluru Lab. Likely cause: expired certificate. Verified with logs; resolved via targeted configuration correction and validation tests.,"data-&-analytics,cache,patch,qos"
ISS-00010,Login failures for Teams due to outdated agent version,"Validate scope: reproduce the issue described as 'Login failures for Teams due to outdated agent version'. Gather diagnostics (logs, event traces, NetMon/PCAP) on Oracle-FIN-AP and impacted clients. Identify blast radius by checking recent changes (patches, policy updates, cert renewals). Adjust ACL/NAT and QoS; update route tables; clear ARP/conntrack where needed. Apply targeted fix and document exact commands/GUI steps. Verify resolution with the requester; monitor for 24 hours; create problem record if it recurs.",Diya Kapoor,High,Network,Oracle-FIN-AP,Data Platform,Known Issue,2024-09-25 10:54:22,2024-10-21 12:54:22,Login failures for Teams due to outdated agent version. Likely cause: token cache corruption. Verified with logs; resolved via targeted configuration correction and validation tests.,"network,cert,driver,qos"
ISS-00011,SharePoint permissions drift on MDM-Intune-28 leads to policy conflict,"Validate scope: reproduce the issue described as 'SharePoint permissions drift on MDM-Intune-28 leads to policy conflict'. Gather diagnostics (logs, event traces, NetMon/PCAP) on SharePoint-Site-34 and impacted clients. Identify blast radius by checking recent changes (patches, policy updates, cert renewals). Coordinate maintenance window; apply vendor firmware; validate PLC/SCADA comms with loopback tests. Apply targeted fix and document exact commands/GUI steps. Verify resolution with the requester; monitor for 24 hours; create problem record if it recurs.",Rohan Mehta,Medium,Manufacturing OT,SharePoint-Site-34,Cloud Platform,Resolved,2025-02-20 02:20:22,2025-03-08 16:20:22,SharePoint permissions drift on MDM-Intune-28 leads to policy conflict. Likely cause: misconfigured firewall rule. Verified with logs; resolved via targeted configuration correction and validation tests.,"manufacturing-ot,dns,driver,auth"
ISS-00012,SharePoint permissions drift on VPN-Gateway-76 leads to high CPU,"Validate scope: reproduce the issue described as 'SharePoint permissions drift on VPN-Gateway-76 leads to high CPU'. Gather diagnostics (logs, event traces, NetMon/PCAP) on Edge-Switch-76 and impacted clients. Identify blast radius by checking recent changes (patches, policy updates, cert renewals). Correct permissions/connectors; reindex search; clear client cache and reauthenticate. Apply targeted fix and document exact commands/GUI steps. Verify resolution with the requester; monitor for 24 hours; create problem record if it recurs.",Aarav Sharma,High,SharePoint/OneDrive,Edge-Switch-76,Endpoint Engineering,Open,2024-09-15 13:18:22,2024-09-25 15:18:22,SharePoint permissions drift on VPN-Gateway-76 leads to high CPU. Likely cause: token cache corruption. Verified with logs; resolved via targeted configuration correction and validation tests.,"sharepoint/onedrive,dns,policy,qos"
ISS-00013,VPN split-tunnel issue for SharePoint at Jamshedpur Plant,"Validate scope: reproduce the issue described as 'VPN split-tunnel issue for SharePoint at Jamshedpur Plant'. Gather diagnostics (logs, event traces, NetMon/PCAP) on Oracle-SCM-INV and impacted clients. Identify blast radius by checking recent changes (patches, policy updates, cert renewals). Apply targeted fix and document exact commands/GUI steps. Verify resolution with the requester; monitor for 24 hours; create problem record if it recurs.",Ritu Jain,Low,Identity & Access,Oracle-SCM-INV,Oracle ERP,Open,2025-03-20 22:50:22,2025-04-03 12:50:22,VPN split-tunnel issue for SharePoint at Jamshedpur Plant. Likely cause: expired certificate. Verified with logs; resolved via targeted configuration correction and validation tests.,"identity-&-access,driver,auth,latency"
ISS-00014,Users at Jamshedpur Plant cannot connect to Oracle AR: high CPU,"Validate scope: reproduce the issue described as 'Users at Jamshedpur Plant cannot connect to Oracle AR: high CPU'. Gather diagnostics (logs, event traces, NetMon/PCAP) on PLC-Cell-103 and impacted clients. Identify blast radius by checking recent changes (patches, policy updates, cert renewals). Apply targeted fix and document exact commands/GUI steps. Verify resolution with the requester; monitor for 24 hours; create problem record if it recurs.",Pooja Kulkarni,Low,Mendix App,PLC-Cell-103,Collaboration (M365),In Progress,2025-04-05 19:18:22,2025-05-04 21:18:22,Users at Jamshedpur Plant cannot connect to Oracle AR: high CPU. Likely cause: timezone mismatch. Verified with logs; resolved via targeted configuration correction and validation tests.,"mendix-app,permissions,auth,latency"
ISS-00015,High CPU on SharePoint-Site-53 causing file sync backlog,"Validate scope: reproduce the issue described as 'High CPU on SharePoint-Site-53 causing file sync backlog'. Gather diagnostics (logs, event traces, NetMon/PCAP) on Edge-Switch-12 and impacted clients. Identify blast radius by checking recent changes (patches, policy updates, cert renewals). Tune policy scope; add detection exception by hash/path; force agent sync and verify signatures. Apply targeted fix and document exact commands/GUI steps. Verify resolution with the requester; monitor for 24 hours; create problem record if it recurs.",Ritu Jain,High,Security - DLP,Edge-Switch-12,Data Platform,Known Issue,2024-11-04 23:23:22,2024-11-17 07:23:22,High CPU on SharePoint-Site-53 causing file sync backlog. Likely cause: timezone mismatch. Verified with logs; resolved via targeted configuration correction and validation tests.,"security---dlp,policy,firmware,permissions"
